user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,context_entity_recall,answer_correctness
"What are the required components of a dissertation proposal in the SJSU Ed.D. program?,","['A desk in a classroom with a blackboard behind it', 'a desk with a laptop and holding a disc', 'a woman writing something down on paper while the laptop sits on the table ']",The required components of a dissertation proposal in the SJSU Ed.D. program are not mentioned in the context provided.,"The dissertation proposal includes a draft of the introduction, a preliminary literature review, methodology, and references. Students must present this proposal to their doctoral committee for approval, and approval is necessary before the data collection phase.,",0.5,0.0,0.0,0.0,0.0,0.20592174473609426
"When is the literature review milestone completed during the doctoral program?,","[""During the 3rd summer of the program, students complete the required courses, and at the same \ntime continue work on the dissertation proposal + IRB.  \n1. LITERATURE REVIEW + CONCEPTUAL FRAMEWORK \nA preliminary literature review is required of each doctoral student during the 2nd summer of the \ndoctoral program. The faculty member teaching the 2nd Proseminar (EDD 591B) will require the \nliterature review as part of the course requirements. The literature review milestone is deﬁned as an \nintegrative review of literature that cuts across individual courses and is based on a student’s \nparticular area of interest and research. It is expected that the literature review will include a 25-30 \npage review of relevant literature, followed by 3-5 page description of the research methods \nanticipated for answering the proposed questions. The student’s advisor will also review student \nperformance on the literature review, which is graded on a pass/fail basis. Successful completion of \nthe literature review is required for the student to continue courses and to move to the next phase of \nthe program, the dissertation proposal.\n    \n2. DISSERTATION PROPOSAL & IRB\nFollowing the literature review milestone and the required coursework, each student is expected to \ncomplete a dissertation proposal and formally present the proposal to his/her doctoral committee, \nincluding the chair, another member of the SJSU faculty, and third member of the committee \nselected from the ﬁeld in which the student works. It is expected that all committee members will \nhave a terminal degree.\nThe traditional dissertation proposal consists of a draft of the introduction, preliminary literature \nreview, and methodology and references. The proposal informs committee members of tentative \nresearch plans. The student is also required to submit a separate application based on the research \nproposal to the University's Institutional Review Board (IRB) based on the actual research proposed \nin the study and proposed data collection activities. The data collection phase cannot be formally \nstarted until IRB application is approved. \nApproval of the dissertation proposal requires a formal meeting of the candidate and dissertation \ncommittee, in which the student presents his/her proposal and receives feedback. In order to move \nforward, the Dissertation Committee must formally (in writing) approve for the dissertation proposal \nand its willingness to support student’s movement to accomplish the research proposed. While \nsuggestions for improving the proposal are typical, the committee must ultimately decide if the \nproposal is sufﬁciently developed as a roadmap of what is to be accomplished in the dissertation \nresearch. At this stage, the Committee has three options: 1) to approve the student moving forward \nto the dissertation; 2) to approve the student moving forward with revisions as stated in the approval; \nand 3) to require that the student submit a revised dissertation proposal at a separate meeting of the \ndissertation committee. All students will have two chances to successfully defend the dissertation \nproposal. Successful completion of the dissertation proposal is required for a student to move to the \nnext phase of the program, the dissertation. \nOral Defense of Dissertation Proposal and Dissertation\nThe Dissertation Committee provides guidance to the candidate, is responsible for approving the \nﬁnal written dissertation and oral defense, and for assuring dissertation conformance with program \nrequirements and rigorous research expectations as established by the College Doctoral Faculty, the \nUniversity Graduate Council, and Graduate School.\nBoth the preliminary defense of the proposal and ﬁnal defense of the dissertation provide a \nmechanism for the faculty to assess oral expression, mastery of advanced disciplinary knowledge, \nDISSERTATION \nPROCESS: 3 STEPS\n6"", ""- Student becomes familiar with theoretical \nframework and conceptual models that have \nguided the research in the selected topic of \ninterest\nforms depending upon the type of research undertaken. The conventional ﬁve-chapter dissertation, \nconsisting of an introduction, literature review, methodology, results/analysis, and conclusions/\nrecommendations may be revised to reﬂect a speciﬁc design and purpose.\nFinal Examination: Oral Defense of Dissertation \nAt the ﬁnal oral defense, the student will make a public presentation of the dissertation research. The \nﬁnal oral defense is conducted as an open forum guided by the candidate's Chair and Dissertation \nCommittee. The purpose of this formal meeting is: (1) to examine and assess the quality of the \ndissertation, (2) to evaluate the ability of the student to present research, and (3) to provide an \nopportunity to share the research with the campus community.\nUnanimous agreement of the Dissertation Committee is required for approval of the dissertation and \nrecommendation that the Ed.D. degree be conferred. There are three possible outcomes of the ﬁnal \ndefense:\n 1. The oral defense is satisfactory and the manuscript is accepted by the Dissertation \n Committee as submitted, or with only minor copy edition revisions.\n 2. The oral defense is satisfactory but there is a need for substantive revisions of the \n manuscript.\n 3. The oral defense is judged to be unsatisfactory. The decision may be reached because the  \n dissertation is judged to be unacceptable or that the student fails to present it satisfactorily. A  \n second oral defense may be scheduled when the chair determines that the student is   \n prepared and the committee members agree that the required remediation has been   \n accomplished. The following table summarizes the milestones throughout doctoral program  \n and through the research process culminating with completion of the dissertation.\nTentative Milestones for Students in the SJSU Ed.D. Program in Educational Leadership \nStep\nTopic \nDevelopment\n- Student becomes familiar with the literature in \nthe area of proposed or potential topic interest\nTask Semester\nYears 1 and 2\n- Student becomes familiar with previous \nresearch conducted in topic area\n- Student becomes familiar with the \nmethodologies used in research in the selected \ntopic of interest\nDissertation \nResearch \nTopic \nIdentiﬁcation\n- Student should seek advice to ensure that \ntheir topic of research will be manageable in \nscope and possible to complete within the time \nframe of the program\nSpring, Year 1\nLiterature \nReview with \nReference to \nMethods\n- Student will complete literature review/ \npre-proposal as part of EDD 591B; Successful \ncompletion is required to move forward\nSummer, Year 2\n8"", '- Two Dissertation Committee Members \nselected from SJSU faculty and third member \nfrom P-12 educational system or workplace\nDissertation \nCommittee\n- Dissertation Chair is identiﬁed Spring, Year 2\n- Student meets with Dissertation Chair to \nreview research topic, and develop a timeline for \nthe completion of the dissertation\nDissertation \nResearch \nProposal\n- Student successfully defends research \nproposal before Dissertation Committee \nMembers\nSpring, Year 2 & \nSummer Year 3\nInstitution \nReview Board \n(IRB)\n- Dissertation Chair and committee members \ncomplete documentation for the successful \ndefense of the dissertation proposal and \nsubmits to the EdD Director\n- Student completes SJSU IRB application with \nDissertation Chair (and possibly with committee \nmembers)\n- Student submits completed IRB application \nand all supporting documents to IRB Program \nCoordinator for approval\nSpring & \nSummer, Year 2\nSpring, Year 2 &\nSummer, Year 3\nSummer & Fall, \nYear 3\nDissertation \nWriting\n- Student completes chapters 1-5 of the \ndissertation with feedback from Chair and \ncommittee members\nOngoing, Year 3\nOral Defense \nof Dissertation\n- With completed draft of dissertation, student \ncompletes dissertation defense scheduling form \nand submits to EdD Program to schedule \ndefense; Copy of completed draft of entire \ndissertation must be sent to all committee \nmembers at least two weeks prior to holding \ndefense\nYear 3\nSubmit Final \nCopy and \nSigned \nPaperwork to \nGraduate \nStudies for \nDissertation \nFormat \nReview and \nPublication\nAfter successful defense and all required \nsignatures and changes in place, dissertation \nand paperwork is submitted to Graduate \nStudies for ﬁnal format review (See Master’s \nThesis and Doctoral Dissertation Guidelines at: \nhttps://www.sjsu.edu/cgs/current-\nstudents/thesis-and-dissertation-information). \nAt this point, Graduate Studies makes the \ndecisiion to approve or reject the dissertation \nformatting. When the dissertation is approved, \nthe corrected ﬁnal copy of the dissertation is \nuploaded to ProQuest. If rejected, the student \nmust wait until the next submission dates and \nupdate graduation application (small fee \ninvolved).\nProQuest \nsubmission \ndeadline listed \non Graduate \nStudies \nwebsite. This \ndeadline is \nrevised every \nyear.\nAs Dissertation \nproposal is \napproved\n- Student defends dissertation and makes all \nchanges required by the Committee; All \ncommittee member signatures required on the \nDissertation Approval Form\n9']",The literature review milestone is completed during the 2nd summer of the doctoral program.,"The preliminary literature review is completed during the 2nd summer of the doctoral program as part of the EDD 591B course requirements.,",1.0,0.9855004909331471,0.99999999995,1.0,0.249999999375,0.734356061190833
"What happens if a student fails the oral defense of their dissertation?,","['a man in glasses sits in front of some wine glasses ', 'Man looking over paperwork while holding pen on desk.', 'The desk with a laptop has papers strewn all over it.']",There is no information provided in the context about what happens if a student fails the oral defense of their dissertation.,"If the oral defense is unsatisfactory, the committee may require revisions or schedule a second defense after the student is adequately prepared.,",1.0,0.0,0.0,0.0,0.0,0.2127243857110574
"What are the possible formats for a dissertation in the SJSU Ed.D. program?,","['a desk with a laptop and holding a disc', 'a woman writing something down on paper while the laptop sits on the table ', 'It is all  kinds of books on the book selves. ']","Based on the context provided, there is no information related to the possible formats for a dissertation in the SJSU Ed.D. program.","Students can choose from traditional formats (five chapters: introduction, literature review, methodology, results/analysis, conclusions/recommendations) or alternative formats like dissertations-in-practice, action research, and joint projects.,",0.0,0.0,0.0,0.0,0.0,0.2066914429507265
"How many units of dissertation credit are required in the final year?,","['a desk with a laptop and holding a disc', 'a long disk with several laptops and PC computers ', 'a person sitting on  desk operating a laptop next to two other ']",There is no mention of dissertation credit or any academic requirements in the context provided.,"Students must enroll in 12 units of dissertation credit during the final year, divided into 6 units for the fall and 6 units for the spring semesters.,",1.0,0.8888067081958614,0.0,0.0,0.0,0.20211969737739283
"What is the role of the Institutional Review Board (IRB) in the dissertation process?,","['Man looking over paperwork while holding pen on desk.', 'a woman writing something down on paper while the laptop sits on the table ', 'A remote and some booklets on a table.']",There is no information provided in the context about the role of the Institutional Review Board (IRB) in the dissertation process.,"Students must submit their research proposal to the IRB for approval before starting data collection. The IRB evaluates ethical considerations in the proposed research.,",1.0,0.0,0.0,0.0,0.0,0.2069749750893196
"Who can serve on a dissertation committee?,","['a couple of people sitting around a table ', 'Man looking over paperwork while holding pen on desk.', 'a person sitting on  desk operating a laptop next to two other ']",The person sitting on the desk operating a laptop next to two other people can serve on a dissertation committee.,"The dissertation committee comprises three members: two tenured/tenure-track faculty from SJSU (including the chair) and a third member with a terminal degree from the educational field.,",0.6666666666666666,0.9842753532890197,0.0,0.0,0.0,0.593860690389274
"What are the key purposes of the final oral defense?,","['A man standing at a podium at a USINDO luncheon ', 'a man in glasses sits in front of some wine glasses ', 'a couple of people sitting around a table ']","The key purposes of the final oral defense are to present and defend the research findings and conclusions to a panel of experts, as well as to demonstrate the candidate's knowledge and understanding of the subject matter.","The final oral defense evaluates the quality of the dissertation, the student’s presentation skills, and their ability to share research findings with the academic community.,",0.0,0.9905870109997216,0.0,0.0,0.0,0.6808959246214721
"What resources are available for dissertation formatting guidelines?,","['A remote and some booklets on a table.', 'a desk with a laptop and holding a disc', 'The desk with a laptop has papers strewn all over it.']",The context does not mention any specific resources available for dissertation formatting guidelines.,"Formatting guidelines are provided by the SJSU Graduate Studies division and reference APA style requirements.,",1.0,0.0,0.0,0.0,0.0,0.2056453900027101
"What is the timeline for selecting a dissertation chair and committee?,","['Man wearing slacks and tie sitting in chair.', 'Man looking over paperwork while holding pen on desk.', 'A chair by a window in a living room']",There is no information provided in the context about the timeline for selecting a dissertation chair and committee.,"The dissertation chair is identified in the spring of the 2nd year, with the full committee formed by the summer of the same year.",1.0,0.0,0.0,0.0,0.0,0.21633643757849325
